,f_stat,p_val
SLC6A15,0.11999601387521552,0.8871948123535172
LILRA1,0.11997629713623949,0.8872122162529035
MPP1,0.11988723809128947,0.8872908328082817
ACKR3,0.11979341250401768,0.8873736648681722
C10orf128,0.11979162325965173,0.8873752445454246
FANCE,0.11970826609123134,0.887448841668542
RIPPLY2,0.11968453443452388,0.8874697958192257
CDC20,0.11963587241020814,0.8875127641500105
KIAA1462,0.11959263450546291,0.887550944829341
RBM46,0.11957965232172563,0.8875624089150769
TSEN2,0.11952032983747829,0.8876147963687437
IL36G,0.11943972102725389,0.887685986859956
MIR1247///DIO3OS,0.11939588835815035,0.8877247006263334
PRR15L,0.11930530442951146,0.8878047114860055
MTNR1B,0.11928183355397658,0.8878254440380784
SFT2D1,0.11924397884837763,0.8878588833367803
PDGFA,0.11912281495072492,0.8879659233962213
RAB9B,0.11908168584929728,0.8880022612173629
F2RL1,0.11900970311059583,0.8880658621531757
CACTIN,0.11894755368715032,0.8881207786033727
GORASP1,0.11890662906163049,0.8881569423388374
ACOX3,0.11885665454941897,0.888201105241306
ABCA13,0.11884306186355692,0.8882131176097098
FHL5,0.11877142971789864,0.8882764244327873
ZCWPW2,0.1187385007333773,0.8883055278811414
PHLPP2,0.11866906713345596,0.8883668982667137
LINC00844,0.11861823830942488,0.8884118272220037
PYGB,0.11848358879061004,0.8885308589788028
IGSF11,0.11839789622728439,0.8886066208694473
MAMDC2,0.11839332733807811,0.8886106604719072
TIA1,0.11838623339505201,0.8886169326491825
FAN1,0.11838258779886524,0.8886201559557207
GPER1,0.11837196146257783,0.8886295514540153
DDN,0.1182874521040964,0.8887042758644272
TLE4,0.11825143334921719,0.888736126165145
CEP170B,0.11817364974318179,0.8888049119265681
NXNL2,0.1180039178938289,0.888955028821832
PSMD8,0.11795702716013008,0.888996505317294
MAP9,0.11794427067654482,0.8890077892226775
IGFBP3,0.11789397320830654,0.889052281925606
HECW2,0.11770241239486229,0.8892217562138165
MRPL11,0.11765665754181572,0.8892622406194507
FBXO10,0.11765191477176676,0.8892664371853413
ARFGEF2,0.11751723075609298,0.8893856188486275
TAS2R13,0.11743112100861984,0.8894618259489571
KIAA1549,0.1174103632335034,0.8894801975919348
RNF17,0.11740678115188924,0.889483367948825
PTPN2,0.11735433605034168,0.8895297863554761
SLC28A1,0.11726136270274297,0.8896120819380771
PON1,0.11725389495989297,0.8896186923730254
CYP4F11,0.11724000347699096,0.8896309892294241
POM121L10P,0.11723472341537416,0.8896356632304339
GOT2,0.11722813774427313,0.8896414930152106
ACSL1,0.11721710496226716,0.8896512595722345
CD81-AS1,0.1172105792827419,0.8896570363565156
SLC25A11,0.11707979964684581,0.889772815801288
IL34,0.1169185564848568,0.8899155862838822
TRIM16L,0.116876421480132,0.8899528980650988
SF3B5,0.11687578163379608,0.8899534646803489
LINC00615,0.11684456258349149,0.8899811111343275
ACACA,0.11680727495450907,0.8900141328739549
ANKLE1,0.1167629379969604,0.8900533991265062
TTC9B,0.11673542483602903,0.8900777665853646
LOC105376166,0.1167150775640057,0.8900957879106465
CELF3,0.11670652535944681,0.8901033626051978
LOC101927934,0.11664525335845972,0.8901576332319863
RNF126P1,0.11663649246139689,0.8901653933285903
GSTK1,0.11646242644124787,0.8903195895515507
NR1H4,0.11643358567488944,0.8903451408068173
CD81,0.11637273866502681,0.890399050255404
LINC01012,0.11635835896826777,0.8904117909270376
LOC105274304,0.11631564938570091,0.8904496335109345
YPEL2,0.11626299949789122,0.890496285953583
CRYZ,0.11621184182243421,0.8905416186054401
LOC102724891,0.11621149466929288,0.8905419262385126
ZNF890P///ZNF815P,0.11613824076587374,0.8906068433634178
ZDHHC16,0.11612439061477065,0.8906191178303272
FGA,0.11612219071756853,0.8906210674690008
BRCA1,0.1161016660140901,0.890639257513204
SIRT6,0.11608084700051122,0.8906577087857938
SNU13///ANXA2,0.1160180318529485,0.8907133823981983
RNF40,0.11599237833768185,0.890736120375641
LINC00836,0.11597780110268599,0.8907490411685273
LRRC10B,0.11596875850105173,0.8907570563383742
ADAMTSL4,0.11590485816651909,0.8908136983795177
SUGT1P1,0.11589212414057863,0.8908249864251769
PCA3,0.11587029563641843,0.8908443365953702
CLYBL-AS2,0.11578721768374539,0.8909179861681437
KCTD16,0.11576635708388545,0.8909364803299958
LILRA2,0.11573902212790732,0.890960714999278
HEMK1,0.1156757212554385,0.8910168390273214
LOC105378052,0.11558206038419698,0.8910998876990174
SNORD32A///SNORD33///SNORD34///SNORD35A///RPL13A,0.11556062968312503,0.8911188913394009
PSIP1,0.1155598679769615,0.8911195667889142
CRIP3,0.11551923064181535,0.891155603070473
ADAM33,0.11537560413934478,0.8912829800208864
HSPA1B///HSPA1A,0.11536569743841947,0.8912917666015846
TBCD,0.11531767213766278,0.8913343631092476
ST3GAL4,0.1151683882950788,0.8914667854184726
CAB39L,0.11513390774162173,0.8914973743268336
HADHB,0.11500157033688067,0.8916147856400315
GPR161,0.11499417790775131,0.8916213447661309
THRIL///BRI3BP,0.11498431705432823,0.8916300941445519
MFSD7,0.114900629706475,0.8917043522008761
MARCH6,0.11482870130822115,0.8917681813742435
MIR492///KRT19P2,0.11476100966794174,0.8918282552045138
LOC100506790,0.11472772190886567,0.8918577984085633
CISD3,0.11466616540346569,0.8919124330828895
HERC2P9///HERC2P2,0.11463655968219884,0.8919387109786546
RRAD,0.11452816292490864,0.8920349303069175
FBXO17,0.11449002282931953,0.8920687882694781
TCF19,0.11440190030081379,0.8921470220719134
ZNF365,0.1142879746822548,0.8922481740555811
SUMO3,0.114202094400889,0.8923244331215976
VWDE,0.114045763565705,0.8924632675703271
KHDRBS3,0.1140079013113553,0.89249689570754
SYN2,0.11391981076976013,0.892575140239826
C15orf32,0.11384188069687075,0.8926443659157404
PRNP,0.11383422300528274,0.8926511685837422
OXLD1,0.11382179872067633,0.892662205743294
SPPL2C,0.11372810142315229,0.892745446669355
CWF19L1,0.11353930707138274,0.8929131966507463
FUT6,0.11351080184923668,0.8929385273319921
MAGED1,0.11342962177094779,0.893010670733978
